19:16:14#0,09511231:0,8456887:-0,1905344/0,03408976:0,5046856:0,03312695:-0,8619936#-0,03370222:0,9425812:-0,06278121/-0,6746887:-0,1069364:0,01766026:-0,7301013#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002976254:0,7403045:-0,007303625/0,6392422:0,0003057159:-0,7616371:0,1062008#0,2895015:1,065007:-0,185149/-0,4140966:-0,4482687:-0,5385126:-0,5810196
19:16:14#0,09511466:0,8456919:-0,1905352/0,03406284:0,5046939:0,03312014:-0,8619902#-0,03370816:0,942582:-0,06278515/-0,6746727:-0,1069528:0,01764135:-0,7301142#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002972081:0,740306:-0,007307217/0,6392537:0,0003093109:-0,7616251:0,1062187#0,2894976:1,065006:-0,1851469/-0,4140899:-0,4482614:-0,5385177:-0,5810252
19:16:14#0,09511401:0,845686:-0,1905303/0,03411589:0,5047055:0,03311443:-0,8619813#-0,03371158:0,9425828:-0,06278616/-0,6746683:-0,1069643:0,01763273:-0,7301168#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002985299:0,7403193:-0,007310718/0,639258:0,0003118068:-0,7616169:0,1062507#0,2895086:1,065013:-0,1851506/-0,4140863:-0,4482576:-0,5385203:-0,581028
19:16:14#0,0951151:0,8456849:-0,1905283/0,03412725:0,5047153:0,03310497:-0,8619756#-0,03371409:0,9425831:-0,06278801/-0,674661:-0,1069714:0,01762511:-0,7301226#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,00297533:0,7403028:-0,007284522/0,6392532:0,0003187768:-0,7616191:0,1062642#0,289503:1,065004:-0,1851292/-0,4140882:-0,4482596:-0,5385188:-0,5810266
19:16:14#0,09511282:0,8456855:-0,190531/0,03411908:0,5046982:0,03311963:-0,8619853#-0,03371811:0,9425837:-0,06279045/-0,6746538:-0,106989:0,01762245:-0,7301267#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002998143:0,7403147:-0,007285669/0,6392277:0,0003231466:-0,7616382:0,1062781#0,2895082:1,065004:-0,1851439/-0,4141056:-0,4482785:-0,5385052:-0,581012
19:16:14#0,09511386:0,8456862:-0,1905306/0,03411198:0,5047088:0,03312418:-0,8619792#-0,03372192:0,9425855:-0,06278872/-0,6746585:-0,1070021:0,01761163:-0,7301208#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002981156:0,740319:-0,007311761/0,6392436:0,0003244728:-0,7616229:0,1062941#0,2894961:1,065003:-0,1851484/-0,4140882:-0,4482595:-0,5385187:-0,5810267
19:16:14#0,09510964:0,8456818:-0,1905304/0,03414827:0,5046909:0,0331395:-0,8619877#-0,03372306:0,9425856:-0,06278968/-0,6746547:-0,1070053:0,01760817:-0,7301239#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003003687:0,7403218:-0,007295609/0,6392181:0,0003451891:-0,7616432:0,1063006#0,2895039:1,065004:-0,1851517/-0,4141054:-0,4482783:-0,5385056:-0,5810121
19:16:14#0,09511071:0,8456823:-0,1905299/0,03414714:0,5046924:0,03312564:-0,8619874#-0,03372905:0,9425876:-0,06278986/-0,6746502:-0,1070207:0,01758485:-0,7301263#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,0029805:0,7403114:-0,00729686/0,6392345:0,0003426597:-0,7616286:0,1063075#0,2894848:1,064992:-0,1851409/-0,4140934:-0,4482654:-0,5385146:-0,5810222
19:16:14#0,09510789:0,8456801:-0,1905304/0,03415981:0,5046892:0,03315711:-0,8619876#-0,03373474:0,9425892:-0,06279093/-0,6746411:-0,1070316:0,0175575:-0,7301338#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003006727:0,7403266:-0,007295847/0,6392333:0,0003590994:-0,7616265:0,1063301#0,2894947:1,064991:-0,1851429/-0,4140969:-0,448269:-0,5385121:-0,5810194
19:16:14#0,09511043:0,8456838:-0,1905316/0,03413304:0,5046855:0,03312851:-0,8619919#-0,03373951:0,9425902:-0,0627926/-0,6746376:-0,1070547:0,01755706:-0,7301337#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,002995089:0,7403234:-0,00729692/0,6392404:0,0003695488:-0,7616167:0,1063572#0,2894799:1,064986:-0,1851467/-0,414097:-0,4482692:-0,5385121:-0,5810192
