01:50:44#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
01:50:44#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
01:50:45#1,035577:0,5167479:-1,078153/0,03413023:-0,9601054:-0,02780617:-0,2761517#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#-0,5461081:-0,249703:-1,126039/0,3492636:-0,6212178:0,6148446:0,3377419#0,9577025:-0,2513235:-0,1827338/0,6251312:0,3513052:-0,3306233:0,6135829
01:50:45#1,035575:0,5167537:-1,078149/0,03418208:-0,9600947:-0,02775732:-0,276187#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862687:0,2629457:-0,5353401/0,7756357:-0,04134182:-0,6174356:0,124313#0,7845039:0,2324641:-0,5965995/0,9774822:0,1139722:0,1586044:0,07989998
01:50:45#1,035575:0,5167559:-1,078148/0,03418611:-0,9600959:-0,02773866:-0,2761841#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,686262:0,2629449:-0,5353427/0,7756458:-0,04134375:-0,6174229:0,1243124#0,784507:0,232462:-0,5966095/0,9774795:0,1139708:0,1586201:0,07990182
01:50:45#1,035574:0,5167564:-1,078148/0,03417515:-0,9600962:-0,02773449:-0,2761852#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862549:0,2629499:-0,5353389/0,7756485:-0,04134426:-0,6174195:0,1243123#0,7845039:0,2324662:-0,5966065/0,9774787:0,1139706:0,1586245:0,07990232
01:50:45#1,035573:0,5167588:-1,078146/0,03416997:-0,960095:-0,02771285:-0,2761918#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,686245:0,2629509:-0,5353426/0,7756521:-0,04134505:-0,6174151:0,1243121#0,784494:0,2324672:-0,5966094/0,977478:0,1139701:0,1586303:0,07990305
01:50:45#1,035573:0,5167626:-1,078144/0,03416805:-0,9600982:-0,02768087:-0,2761844#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862543:0,262956:-0,5353296/0,7756429:-0,04134317:-0,6174263:0,1243125#0,7844977:0,2324727:-0,5965953/0,9774801:0,1139712:0,1586158:0,07990128
01:50:45#1,035576:0,5167599:-1,078145/0,0341755:-0,9601023:-0,02770424:-0,2761668#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862626:0,2629639:-0,5353081/0,7756362:-0,04134178:-0,617435:0,1243131#0,7845061:0,2324803:-0,5965815/0,9774821:0,1139721:0,1586048:0,0799001
01:50:45#1,035578:0,5167567:-1,078146/0,03416984:-0,9601073:-0,0277325:-0,2761474#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862706:0,2629579:-0,5353054/0,7756351:-0,04134172:-0,6174362:0,1243131#0,784521:0,2324727:-0,5965917/0,9774821:0,1139722:0,1586032:0,0798998
01:50:45#1,035578:0,516757:-1,078146/0,0341831:-0,9601043:-0,02773017:-0,2761563#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862463:0,2629527:-0,5353255/0,7756531:-0,04134532:-0,6174137:0,1243118#0,7845104:0,2324657:-0,596617/0,9774778:0,1139699:0,1586318:0,07990313
01:50:45#1,035579:0,5167584:-1,078145/0,03419299:-0,9601045:-0,02771822:-0,2761557#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862571:0,2629532:-0,5353221/0,7756469:-0,04134399:-0,6174214:0,1243123#0,784518:0,2324668:-0,5966088/0,9774791:0,1139707:0,158622:0,0799021
01:50:45#1,03558:0,5167565:-1,078146/0,0341992:-0,9601039:-0,0277352:-0,2761551#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,6862584:0,2629559:-0,5353169/0,7756472:-0,04134415:-0,6174212:0,1243122#0,7845201:0,2324696:-0,5966045/0,9774791:0,1139708:0,1586223:0,07990207
