00:31:29#0,2056983:0,8245794:0,3972574/0,02969763:0,3548295:-0,03691668:-0,9337297#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3633025:0,7124299:0,4323341/0,7756483:-0,04134439:-0,6174198:0,1243121#-0,1983994:0,5879583:0,1439352/0,9774789:0,1139706:0,1586242:0,07990227
00:31:29#0,205697:0,8245766:0,3972588/0,02972055:0,3548262:-0,03691039:-0,9337305#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3633055:0,7124313:0,4323333/0,7756461:-0,04134393:-0,6174226:0,1243123#-0,198399:0,587958:0,1439401/0,9774795:0,1139708:0,1586209:0,07990196
00:31:29#0,205697:0,8245766:0,3972588/0,02972055:0,3548262:-0,03691039:-0,9337305#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3632995:0,7124268:0,4323362/0,7756476:-0,04134427:-0,6174206:0,1243123#-0,198403:0,5879523:0,1439424/0,9774792:0,1139706:0,1586231:0,07990217
00:31:29#0,2056968:0,8245777:0,3972578/0,02970882:0,3548298:-0,03689713:-0,9337301#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3633044:0,7124332:0,4323307/0,7756494:-0,04134464:-0,6174182:0,1243121#-0,1983989:0,5879558:0,1439364/0,9774786:0,1139704:0,158626:0,07990263
00:31:29#0,2056974:0,8245801:0,3972565/0,02968898:0,354829:-0,03690238:-0,9337308#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,363303:0,712435:0,4323249/0,7756463:-0,04134398:-0,6174224:0,1243124#-0,1984026:0,5879575:0,1439361/0,9774793:0,1139708:0,158621:0,07990196
00:31:29#0,2056974:0,8245801:0,3972565/0,02968898:0,354829:-0,03690238:-0,9337308#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3633084:0,7124385:0,432324/0,7756476:-0,0413442:-0,6174207:0,1243123#-0,1983992:0,5879629:0,1439304/0,977479:0,1139706:0,1586232:0,07990216
00:31:29#0,2056994:0,8245832:0,3972553/0,02966499:0,3548334:-0,03691594:-0,9337294#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3633044:0,7124333:0,4323306/0,7756498:-0,04134463:-0,6174179:0,1243122#-0,1983996:0,5879602:0,1439304/0,9774785:0,1139704:0,1586266:0,07990254
00:31:29#0,2056941:0,8245806:0,3972543/0,02968484:0,3547941:-0,03691043:-0,9337438#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,363317:0,7124404:0,4323168/0,7756224:-0,04133912:-0,6174525:0,124314#-0,1984119:0,587967:0,1439659/0,9774856:0,113974:0,1585831:0,07989745
00:31:29#0,2056944:0,8245826:0,397253/0,02966791:0,3547885:-0,03691857:-0,9337462#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3632926:0,7124273:0,4323275/0,7756433:-0,04134333:-0,617426:0,1243126#-0,1984226:0,5879588:0,1439391/0,9774801:0,1139712:0,1586163:0,07990144
00:31:29#0,2056932:0,8245823:0,3972526/0,02967147:0,3547699:-0,03693262:-0,9337526#0,3529705:0,9104465:0,3556349/-0,6429856:0,0405374:-0,1166808:-0,7558517#-0,6365051:0,9668367:-0,002139926/0,5012381:0,4195956:-0,4027194:0,640716#0,3633099:0,7124381:0,4323208/0,7756356:-0,04134184:-0,6174357:0,124313#-0,1984245:0,5879698:0,1439451/0,977482:0,1139721:0,1586041:0,07989991
