17:22:29#0,09527166:0,8457307:-0,1939534/0,03338559:0,501108:0,02966577:-0,8642315#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4188914:1,048467:-0,05151695/-0,5296793:0,5708545:0,4274583:-0,4591784#0,2892084:1,06509:-0,1862357/-0,4140795:-0,4482504:-0,5385253:-0,5810339
17:22:29#0,09527345:0,8457336:-0,1939545/0,03336451:0,5011023:0,02964211:-0,8642365#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189075:1,048469:-0,0515354/-0,5296644:0,5708386:0,4274768:-0,4591982#0,2892244:1,0651:-0,1862518/-0,4140983:-0,4482706:-0,538511:-0,5810182
17:22:30#0,09527313:0,8457365:-0,1939574/0,03333924:0,5010896:0,02964341:-0,8642448#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189159:1,048478:-0,05154663/-0,5296606:0,5708345:0,4274814:-0,4592032#0,2892291:1,065108:-0,1862572/-0,4141029:-0,4482755:-0,5385074:-0,5810142
17:22:30#0,09527608:0,8457396:-0,1939575/0,03331746:0,5010945:0,02961835:-0,8642436#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189101:1,048487:-0,05154908/-0,5296695:0,5708441:0,4274701:-0,4591911#0,2892244:1,065114:-0,1862595/-0,4140916:-0,4482634:-0,5385161:-0,5810237
17:22:30#0,09527382:0,8457381:-0,1939583/0,0333284:0,5010828:0,02962878:-0,8642496#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189279:1,048495:-0,05155531/-0,5296615:0,5708355:0,4274803:-0,4592022#0,2892388:1,065122:-0,1862591/-0,4141017:-0,4482745:-0,5385082:-0,5810151
17:22:30#0,09527304:0,8457384:-0,1939592/0,033327:0,5010726:0,02962613:-0,8642557#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,418917:1,048494:-0,05155957/-0,5296623:0,5708362:0,4274795:-0,4592012#0,2892249:1,065119:-0,1862585/-0,4141011:-0,4482735:-0,538509:-0,581016
17:22:30#0,09527399:0,8457378:-0,1939578/0,03332816:0,5010919:0,02964051:-0,8642439#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189114:1,048496:-0,05154377/-0,5296766:0,5708517:0,4274614:-0,4591817#0,289224:1,065117:-0,1862505/-0,4140829:-0,4482538:-0,5385228:-0,581031
17:22:30#0,09527399:0,8457378:-0,1939578/0,03332816:0,5010919:0,02964051:-0,8642439#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189147:1,048492:-0,0515483/-0,5296673:0,5708416:0,4274732:-0,4591943#0,2892281:1,065117:-0,1862531/-0,4140947:-0,4482667:-0,5385138:-0,5810212
17:22:30#0,09527092:0,8457354:-0,1939584/0,03334491:0,5010828:0,02966391:-0,8642478#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189176:1,048492:-0,05155493/-0,5296629:0,5708368:0,4274788:-0,4592004#0,2892282:1,065117:-0,1862576/-0,4141002:-0,4482728:-0,5385094:-0,5810164
17:22:30#0,09527014:0,8457347:-0,1939585/0,03335609:0,5010667:0,02964423:-0,8642573#0,5635672:1,240017:-0,3641436/0:-0,1160284:0:0,9932459#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,4189096:1,048487:-0,05156144/-0,5296596:0,5708336:0,4274825:-0,4592044#0,2892149:1,06511:-0,1862602/-0,4141041:-0,4482769:-0,5385066:-0,5810133
