21:40:21#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
21:40:21#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
21:40:21#1,505891:0,5504736:-0,7618369/-0,0417564:0,5889146:-0,006966121:0,8070858#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#0,4654459:-0,249703:-1,530438/-0,1013175:-0,6977898:0,699824:-0,1143264#-0,07640249:-0,2513235:0,160027/0,6965139:-0,09893113:0,1223488:0,70008
21:40:22#1,505885:0,5504834:-0,7618238/-0,04170389:0,5890111:-0,007024828:0,8070176#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054182:0,263402:-0,5859329/0,9841044:-0,1106606:0,1224151:0,06563108#1,124654:0,5181038:-0,3732488/-0,2039933:0,1107799:-0,4249257:0,8749588
21:40:22#1,505885:0,5504837:-0,7618235/-0,04170488:0,5890115:-0,007028617:0,8070171#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054163:0,2633964:-0,5859396/0,9840997:-0,110663:0,1224536:0,06562667#1,124642:0,5180972:-0,3732462/-0,2039765:0,1107454:-0,4249338:0,874963
21:40:22#1,505883:0,5504875:-0,7618251/-0,04168709:0,5890008:-0,007056418:0,8070257#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054154:0,2633992:-0,5859541/0,9840978:-0,1106641:0,1224685:0,06562507#1,124626:0,5181001:-0,3732594/-0,2039701:0,1107322:-0,4249368:0,8749648
21:40:22#1,505881:0,5504897:-0,7618266/-0,04167702:0,5889911:-0,007072261:0,8070332#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054149:0,2634075:-0,5859566/0,9840981:-0,1106641:0,1224668:0,0656253#1,124614:0,5181084:-0,3732635/-0,203971:0,110734:-0,4249366:0,8749646
21:40:22#1,50588:0,5504923:-0,7618268/-0,04167457:0,5889841:-0,007098026:0,8070381#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,05415:0,2634103:-0,5859547/0,9840984:-0,1106637:0,1224627:0,06562573#1,124609:0,5181112:-0,3732634/-0,2039724:0,1107374:-0,4249357:0,8749641
21:40:22#1,50588:0,5504923:-0,7618268/-0,04167457:0,5889841:-0,007098026:0,8070381#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054149:0,2634146:-0,5859452/0,9840995:-0,1106633:0,1224544:0,06562673#1,124607:0,5181156:-0,3732557/-0,2039763:0,1107447:-0,4249339:0,8749632
21:40:22#1,505879:0,550494:-0,7618291/-0,0416462:0,5889809:-0,007095744:0,807042#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054147:0,263414:-0,5859491/0,984099:-0,1106637:0,1224603:0,06562603#1,124602:0,5181147:-0,3732584/-0,2039737:0,1107395:-0,4249352:0,874964
21:40:22#1,505879:0,5504928:-0,7618291/-0,0416471:0,5889837:-0,007083941:0,80704#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054148:0,2634182:-0,5859515/0,9841002:-0,1106631:0,1224509:0,06562702#1,124603:0,518119:-0,3732631/-0,2039776:0,1107478:-0,4249333:0,8749629
21:40:22#1,505881:0,5504906:-0,7618306/-0,04165338:0,5889757:-0,007066128:0,8070457#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054147:0,2634144:-0,5859604/0,9840984:-0,1106639:0,1224639:0,06562556#1,124599:0,5181153:-0,3732693/-0,2039723:0,1107363:-0,4249358:0,8749643
21:40:22#1,505879:0,5504935:-0,7618315/-0,04161891:0,5889832:-0,007071048:0,8070419#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05609919:0,7216533:0,4567878/-0,7934034:-0,288379:-0,4920468:0,2126935#1,054162:0,2634097:-0,5859525/0,9841006:-0,1106628:0,1224475:0,06562736#1,124615:0,5181112:-0,3732648/-0,2039792:0,1107509:-0,4249325:0,8749624
