20:56:34#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
20:56:34#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
20:56:34#0,8776275:0,528931:-0,9726356/0,002855734:0,7715968:-0,03582119:-0,6350961#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,07504915:-0,249703:0,1990144/-0,7045231:0,07365412:-0,06054911:-0,703247#0,4174488:-0,2513235:-1,542833/-0,08173707:-0,7046401:0,7024385:-0,05815199
20:56:35#0,8776274:0,5289311:-0,9726397/0,002848714:0,7715794:-0,03581457:-0,6351178#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864661:0,3603257:-1,071773/0,9900916:-0,0319378:-0,07054526:0,1171418#0,7013552:0,365767:-1,130485/0,1247018:-0,05166452:0,9906654:0,01903937
20:56:35#0,8776295:0,5289357:-0,9726433/0,002825852:0,7715561:-0,03584812:-0,6351442#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864682:0,360334:-1,071768/0,9900895:-0,03193451:-0,07057315:0,1171428#0,7013532:0,3657758:-1,130472/0,1247297:-0,05166401:0,9906619:0,01904077
20:56:35#0,8776296:0,5289359:-0,9726437/0,002816045:0,7715593:-0,03583745:-0,635141#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864823:0,360334:-1,071787/0,9900926:-0,03193938:-0,07053232:0,1171415#0,7013691:0,3657733:-1,130504/0,124689:-0,05166478:0,990667:0,01903867
20:56:35#0,8776296:0,5289359:-0,9726437/0,002816045:0,7715593:-0,03583745:-0,635141#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864673:0,3603287:-1,071791/0,9900921:-0,03193881:-0,07053727:0,1171416#0,7013539:0,3657613:-1,130498/0,1246937:-0,05166479:0,9906663:0,01903882
20:56:35#0,8776296:0,5289358:-0,9726418/0,002807655:0,7715756:-0,0358233:-0,6351219#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864748:0,3603305:-1,071794/0,9900939:-0,03194189:-0,07051206:0,1171408#0,7013647:0,3657618:-1,130508/0,1246684:-0,05166513:0,9906695:0,01903757
20:56:35#0,8776312:0,5289383:-0,9726381/0,002798703:0,771591:-0,03584341:-0,6351022#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,886472:0,3603293:-1,071792/0,9900939:-0,03194167:-0,07051304:0,1171409#0,7013626:0,3657606:-1,130505/0,1246694:-0,05166527:0,9906695:0,01903765
20:56:35#0,8776326:0,5289412:-0,9726406/0,00277832:0,7715794:-0,03585668:-0,6351156#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864651:0,3603359:-1,071776/0,990091:-0,03193666:-0,07055518:0,1171422#0,7013511:0,365768:-1,130475/0,1247115:-0,05166434:0,9906641:0,01903978
20:56:35#0,8776331:0,528942:-0,9726392/0,002765304:0,7715917:-0,03584887:-0,6351011#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,886481:0,3603343:-1,071793/0,9900935:-0,03194097:-0,07051811:0,117141#0,7013701:0,3657684:-1,130511/0,1246744:-0,05166515:0,9906689:0,01903784
20:56:35#0,8776357:0,5289468:-0,9726366/0,002748472:0,7715971:-0,03589127:-0,6350922#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864698:0,3603336:-1,071791/0,9900929:-0,03193975:-0,07052818:0,1171415#0,7013586:0,3657626:-1,130499/0,1246847:-0,05166499:0,9906676:0,01903834
20:56:35#0,877634:0,528944:-0,9726399/0,002748336:0,7715914:-0,03585289:-0,6351015#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864753:0,3603451:-1,071779/0,9900914:-0,03193767:-0,07054657:0,117142#0,701362:0,3657742:-1,13048/0,1247031:-0,05166449:0,9906653:0,0190394
20:56:35#0,8776338:0,5289435:-0,9726392/0,002753451:0,7715936:-0,03585296:-0,6350987#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864615:0,3603243:-1,071801/0,9900922:-0,03193928:-0,07053378:0,1171416#0,7013478:0,3657534:-1,130509/0,1246901:-0,05166472:0,9906669:0,01903875
20:56:35#0,8776323:0,5289406:-0,9726399/0,002760468:0,771597:-0,03582329:-0,6350963#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864664:0,3603339:-1,071792/0,9900925:-0,03193937:-0,07053211:0,1171415#0,7013546:0,3657606:-1,130495/0,1246885:-0,05166481:0,9906672:0,01903863
20:56:35#0,8776326:0,5289413:-0,9726415/0,002760454:0,7715856:-0,03583428:-0,6351094#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864527:0,3603262:-1,071794/0,990091:-0,03193668:-0,07055485:0,1171423#0,7013382:0,365754:-1,13049/0,1247113:-0,05166427:0,9906642:0,01903975
20:56:35#0,8776321:0,5289403:-0,9726403/0,002770608:0,7715895:-0,03583392:-0,6351047#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864706:0,3603354:-1,071795/0,9900926:-0,03193945:-0,07053122:0,1171414#0,7013592:0,3657639:-1,1305/0,1246878:-0,05166489:0,9906672:0,01903856
20:56:35#0,8776326:0,5289411:-0,972639/0,002767795:0,771595:-0,03584035:-0,6350976#0,9176493:0,5937942:-1,166972/0,4820465:-0,4041223:0,5134904:0,5836472#0,7364074:0,5750239:-1,12049/-0,5894755:0,4455426:-0,4225132:-0,5248744#0,8864658:0,3603325:-1,071792/0,9900926:-0,03193982:-0,07052836:0,1171414#0,7013546:0,3657597:-1,130495/0,124685:-0,05166487:0,9906676:0,0190384
