22:54:20#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#0,8876261:1,385232:-0,525043/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,8875526:1,383611:-0,5284559/0,4900758:-0,4930298:0,5098298:0,506775
22:54:20#0,22:0:-0,63/0:0:0:1#0,2758:-0,0157:-0,7387/0:0:0:1#0,1642:-0,0157:-0,7387/0:0:0:1#1,107625:-0,249703:-0,7020974/-0,4948052:-0,4958405:0,5051601:-0,5041065#-0,6675535:-0,2513235:-0,7055103/0,4900758:-0,4930298:0,5098298:0,506775
22:54:20#1,342509:0,555252:-1,136465/-0,03245419:0,879142:0,001120778:0,4754522#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#-0,2875277:-0,249703:-1,4057/0,2092724:-0,6791975:0,6754435:0,1966519#0,6827413:-0,2513235:0,08085638/0,681493:0,2115371:-0,1888597:0,6746491
22:54:21#1,3425:0,5552639:-1,136464/-0,03235611:0,8791447:0,001037066:0,4754541#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,832208:0,2670075:-0,7704992/0,9840999:-0,110663:0,1224511:0,06562702#1,152588:0,5214152:-0,6380265/-0,2190037:0,1914981:-0,3827511:0,876851
22:54:21#1,342502:0,5552626:-1,136463/-0,03237212:0,8791496:0,001045514:0,4754439#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322114:0,2670097:-0,7704864/0,9841011:-0,1106625:0,1224426:0,06562792#1,152596:0,5214175:-0,6380209/-0,2190069:0,1915054:-0,3827491:0,8768494
22:54:21#1,3425:0,5552638:-1,136463/-0,03235343:0,8791487:0,001039119:0,475447#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322074:0,2670062:-0,7704946/0,9840991:-0,1106635:0,1224582:0,06562625#1,152594:0,5214132:-0,6380246/-0,2190011:0,1914918:-0,3827526:0,8768523
22:54:21#1,342498:0,5552656:-1,136463/-0,03232498:0,8791504:0,001028957:0,4754457#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322022:0,26701:-0,7704946/0,9840997:-0,1106632:0,1224535:0,06562664#1,152588:0,5214171:-0,638026/-0,2190028:0,1914958:-0,3827516:0,8768514
22:54:21#1,342497:0,5552651:-1,136465/-0,03234:0,879136:0,001029197:0,4754713#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8321768:0,2670144:-0,7705212/0,9840961:-0,110665:0,1224826:0,06562351#1,152555:0,5214216:-0,6380339/-0,2189915:0,1914698:-0,3827581:0,8768571
22:54:21#1,342496:0,5552652:-1,136466/-0,03234414:0,8791329:0,001027642:0,4754767#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8321974:0,2670112:-0,7705114/0,984099:-0,1106637:0,1224605:0,06562597#1,152565:0,5214195:-0,6380258/-0,2190002:0,1914896:-0,3827531:0,8768528
22:54:21#1,342493:0,5552685:-1,136465/-0,03234982:0,8791209:0,0009979815:0,4754987#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8321881:0,267011:-0,7705304/0,9840966:-0,1106649:0,1224793:0,06562401#1,152547:0,5214198:-0,6380296/-0,2189928:0,1914729:-0,3827575:0,8768566
22:54:21#1,342496:0,5552667:-1,136465/-0,03235336:0,8791288:0,001012977:0,4754838#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322105:0,2670175:-0,7704951/0,9841016:-0,1106621:0,1224375:0,06562857#1,152566:0,5214273:-0,6380103/-0,219009:0,19151:-0,3827481:0,8768485
22:54:21#1,342495:0,555267:-1,136465/-0,0323469:0,8791279:0,00101127:0,475486#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,8322028:0,2670128:-0,7705075/0,9840993:-0,1106634:0,1224569:0,06562653#1,152562:0,5214218:-0,6380179/-0,2190015:0,1914931:-0,3827525:0,8768522
22:54:21#1,342495:0,555267:-1,136465/-0,0323469:0,8791279:0,00101127:0,475486#0,2611941:0,9157968:0,3393226/-0,3660584:0,5607518:-0,5486667:-0,5005233#0,05708677:0,7182136:0,468488/-0,819875:-0,2742467:-0,4248559:0,2684983#0,832201:0,2670144:-0,7705078/0,9840996:-0,1106632:0,1224543:0,06562673#1,15256:0,5214235:-0,6380184/-0,2190024:0,1914951:-0,3827519:0,8768517
