"Remote_HMD_p_x","Remote_HMD_p_y","Remote_HMD_p_z","Remote_HMD_r_x","Remote_HMD_r_y","Remote_HMD_r_z","Remote_HMD_r_w","Remote_Right_p_x","Remote_Right_p_y","Remote_Right_p_z","Remote_Right_r_x","Remote_Right_r_y","Remote_Right_r_z","Remote_Right_r_w","Remote_Left_p_x","Remote_Left_p_y","Remote_Left_p_z","Remote_Left_r_x","Remote_Left_r_y","Remote_Left_r_z","Remote_Left_r_w","Remote_FingertipR_p_x","Remote_FingertipR_p_y","Remote_FingertipR_p_z","Remote_FingertipR_r_x","Remote_FingertipR_r_y","Remote_FingertipR_r_z","Remote_FingertipR_r_w","Remote_FingertipL_p_x","Remote_FingertipL_p_y","Remote_FingertipL_p_z","Remote_FingertipL_r_x","Remote_FingertipL_r_y","Remote_FingertipL_r_z","Remote_FingertipL_r_w","
14:14:57:355","-0.2946166","1.718651","-0.3154216","-0.1088047","-0.06221033","-0.004173736","-0.9921058","-0.2408016","1.003285","0.3226741","-0.4951593","0.4077","-0.4325254","-0.6336558","-0.6400557","1.02695","0.3159605","0.6514631","-0.03225033","-0.09893003","0.7515109","-0.2458563","1.036471","-8.577108E-05","-0.9810689","0.09181155","0.1411151","-0.0957165","-0.6115047","1.035657","0.06378096","0.7324162","0.004121324","0.663964","0.1506705"
14:14:57:386","-0.2945613","1.718727","-0.3157221","-0.1083449","-0.06151389","-0.004213503","-0.9921994","-0.2408018","1.003285","0.3226742","-0.4951628","0.4076973","-0.4325238","-0.633656","-0.6400458","1.026952","0.3159565","0.6514438","-0.0322731","-0.09897217","0.7515211","-0.2454106","1.036502","-9.414554E-05","-0.9810185","0.09177177","0.1414611","-0.09575824","-0.6109998","1.035881","0.0633679","0.7326656","0.004199833","0.663692","0.1506552"
14:14:57:411","-0.2944851","1.718828","-0.3161761","-0.1080196","-0.06084951","-0.004281028","-0.9922757","-0.2408057","1.003286","0.3226751","-0.4951715","0.4076914","-0.4325339","-0.633646","-0.6400419","1.026952","0.3159519","0.6514207","-0.03227373","-0.09900258","0.7515371","-0.2452319","1.036481","-7.981062E-05","-0.9810126","0.09176571","0.1415037","-0.09576073","-0.6108242","1.035998","0.06297716","0.7326967","0.004188354","0.6636468","0.1507016"
14:14:57:436","-0.294418","1.718914","-0.3165565","-0.1073892","-0.06051696","-0.004191572","-0.9923647","-0.2408052","1.003286","0.3226759","-0.495164","0.4077012","-0.4325365","-0.6336439","-0.6400423","1.026952","0.315951","0.651416","-0.03227022","-0.09900518","0.751541","-0.2448206","1.036523","-0.0002891123","-0.9809706","0.09171852","0.1418086","-0.09578818","-0.6103792","1.03617","0.06259033","0.7329157","0.004240409","0.6633972","0.1507348"
14:14:57:464","-0.2943717","1.719015","-0.3169333","-0.1069979","-0.06027965","-0.003837139","-0.9924228","-0.240804","1.003287","0.3226714","-0.4951472","0.4076962","-0.4325423","-0.6336562","-0.6400339","1.026954","0.3159475","0.6513918","-0.03227713","-0.099059","0.7515545","-0.2447211","1.036536","-0.0003973544","-0.9809608","0.09171764","0.1418709","-0.09579359","-0.6102619","1.036254","0.06231594","0.7329675","0.004256441","0.663339","0.1507382"
14:14:57:489","-0.2943479","1.719134","-0.3172821","-0.1070574","-0.0601528","-0.003629772","-0.9924249","-0.2408028","1.003285","0.3226766","-0.4951617","0.4077075","-0.4325284","-0.6336471","-0.6400311","1.026954","0.3159425","0.6513721","-0.03228233","-0.09907491","0.7515693","-0.2446373","1.036615","-0.0005685091","-0.9809389","0.09171352","0.1420046","-0.09582625","-0.610164","1.036393","0.06207484","0.7330782","0.004267116","0.6632059","0.1507859"
14:14:57:513","-0.2943591","1.719257","-0.3177359","-0.1071119","-0.05993775","-0.003462252","-0.9924327","-0.240802","1.003285","0.3226767","-0.4951622","0.4077081","-0.4325249","-0.6336488","-0.6400293","1.026953","0.3159391","0.6513572","-0.03228413","-0.09908773","0.7515805","-0.2446891","1.036795","-0.0008451343","-0.9809525","0.09172236","0.1419255","-0.09579427","-0.6102228","1.036608","0.06166497","0.7330237","0.004261116","0.6632599","0.1508139"
14:14:57:538","-0.2944477","1.719376","-0.3181407","-0.1071989","-0.05971824","-0.003474209","-0.9924364","-0.2408018","1.003285","0.3226741","-0.495147","0.4077094","-0.4325337","-0.6336537","-0.6400237","1.026954","0.3159323","0.6513293","-0.03229467","-0.09911674","0.7516004","-0.2446517","1.036946","-0.001220822","-0.9809498","0.09172361","0.1419434","-0.09579447","-0.6101743","1.036803","0.06116652","0.7330372","0.004269434","0.6632403","0.1508338"
14:14:57:562","-0.2946345","1.719555","-0.3185233","-0.1068823","-0.05936752","-0.003697558","-0.9924908","-0.2407958","1.003283","0.3226752","-0.4951476","0.4077185","-0.4325095","-0.633664","-0.6400246","1.026952","0.3159274","0.6513112","-0.03229101","-0.09911793","0.7516161","-0.2447459","1.037123","-0.001525164","-0.9809666","0.09174146","0.1418147","-0.09579676","-0.6102746","1.037026","0.06065318","0.7329618","0.004255905","0.6633137","0.1508775"
14:14:57:605","-0.2948329","1.719754","-0.3187945","-0.1063894","-0.05899297","-0.00394809","-0.9925652","-0.240796","1.003282","0.3226787","-0.4951581","0.4077244","-0.4325037","-0.6336559","-0.6400217","1.026952","0.315923","0.6512901","-0.03229089","-0.09914181","0.7516311","-0.2447642","1.037253","-0.00171113","-0.9809673","0.09176517","0.1418032","-0.095783","-0.6102762","1.037218","0.0602544","0.732945","0.004270152","0.6633286","0.1508932"
14:14:57:654","-0.2950248","1.719919","-0.3190246","-0.1058749","-0.05902161","-0.004332665","-0.9926168","-0.2407958","1.003282","0.3226776","-0.4951493","0.4077266","-0.4325083","-0.6336582","-0.6400162","1.026952","0.3159162","0.6512614","-0.03230107","-0.09917128","0.7516516","-0.2444211","1.037347","-0.00180617","-0.9809086","0.091721","0.1422213","-0.09580687","-0.6098727","1.037382","0.06026387","0.7332349","0.004340923","0.6630012","0.1509208"
14:14:57:690","-0.2952524","1.72012","-0.3193539","-0.1053944","-0.06038391","-0.005128368","-0.9925823","-0.2407997","1.003283","0.3226801","-0.4951524","0.4077317","-0.4325216","-0.6336435","-0.6400138","1.026952","0.3159114","0.6512384","-0.03229881","-0.09919488","0.7516686","-0.2433868","1.037408","-0.002105951","-0.9807082","0.09159097","0.1435903","-0.09594194","-0.6086611","1.037435","0.06104004","0.7341689","0.004557901","0.6619565","0.1509585"
14:14:57:718","-0.2950696","1.720223","-0.3199395","-0.107659","-0.06712016","-0.00488173","-0.9919075","-0.2407972","1.003283","0.3226783","-0.4951408","0.4077356","-0.4325193","-0.6336516","-0.6400074","1.026953","0.3159057","0.6512135","-0.03231086","-0.0992275","0.7516854","-0.2394627","1.037617","-0.003432274","-0.9799166","0.09105505","0.1489069","-0.0964333","-0.6040207","1.037394","0.06460807","0.7377673","0.005388903","0.6579369","0.1509615"
14:14:57:765","-0.2945366","1.720367","-0.3205588","-0.1093016","-0.07175209","-0.002950593","-0.9914111","-0.2408004","1.003283","0.3226797","-0.4951481","0.407733","-0.4325272","-0.6336422","-0.6400029","1.026953","0.3159013","0.6512","-0.03232802","-0.0992378","0.751695","-0.2426803","1.038728","-0.006077111","-0.980261","0.09129342","0.1466112","-0.09622672","-0.6075116","1.037305","0.06454816","0.7362317","0.005034802","0.6596453","0.1510163"
14:14:57:792","-0.2932102","1.720489","-0.3218231","-0.1119992","-0.08516283","-0.0005547401","-0.9900522","-0.2408002","1.003284","0.3226786","-0.4951545","0.4077233","-0.4325225","-0.6336466","-0.6400006","1.026952","0.3158938","0.6511686","-0.03232745","-0.09925984","0.7517192","-0.2362184","1.039541","-0.009402275","-0.978911","0.0904147","0.1553784","-0.09703675","-0.599582","1.037316","0.07060406","0.7421028","0.006384681","0.6530275","0.1509906"
14:14:57:816","-0.2924582","1.72051","-0.3223032","-0.1111424","-0.09090605","0.001374911","-0.9896371","-0.2407995","1.003283","0.3226796","-0.4951557","0.4077273","-0.4325188","-0.6336457","-0.6399924","1.026953","0.3158895","0.651145","-0.0323396","-0.09930535","0.7517332","-0.2444548","1.041242","-0.01366669","-0.9801035","0.09117313","0.1476706","-0.09632321","-0.6087438","1.036677","0.06896436","0.7369393","0.005212201","0.65884","0.1510741"
14:14:57:840","-0.2917308","1.720702","-0.3227514","-0.1108202","-0.09755964","0.003114804","-0.9890355","-0.2407989","1.003283","0.3226786","-0.495159","0.4077207","-0.4325143","-0.6336503","-0.6399879","1.026954","0.3158867","0.6511357","-0.03235428","-0.09931822","0.7517389","-0.243847","1.041523","-0.01536795","-0.9799596","0.09108215","0.1486244","-0.09640682","-0.6077234","1.03598","0.07150298","0.7375914","0.005350286","0.6580992","0.1511159"
14:14:57:864","-0.2915244","1.720762","-0.3228614","-0.1101774","-0.09818432","0.003308035","-0.9890449","-0.2407985","1.003284","0.322673","-0.4951386","0.4077142","-0.4325258","-0.6336626","-0.6399917","1.026954","0.3158893","0.6511419","-0.03233781","-0.09931275","0.751735","-0.2493856","1.042201","-0.0165402","-0.9808333","0.09165902","0.1427452","-0.09586009","-0.6140949","1.03552","0.07001984","0.7336226","0.004436091","0.6625159","0.1511665"
14:14:57:889","-0.290776","1.720807","-0.3233026","-0.1095402","-0.1041414","0.004257561","-0.9885026","-0.2407941","1.003283","0.3226709","-0.4951276","0.4077175","-0.4325157","-0.6336761","-0.6399863","1.026955","0.3158861","0.6511284","-0.0323509","-0.09933517","0.7517431","-0.2448313","1.042117","-0.0173043","-0.9800495","0.09114955","0.1480083","-0.09637661","-0.6085224","1.035313","0.07354653","0.7371799","0.005254772","0.658559","0.1511243"
14:14:57:917","-0.289234","1.721122","-0.3241256","-0.1093588","-0.1155777","0.007478525","-0.9872319","-0.2407938","1.003282","0.3226745","-0.4951335","0.407728","-0.4325104","-0.6336682","-0.6399823","1.026956","0.3158851","0.6511173","-0.03235104","-0.09936517","0.7517487","-0.2418386","1.042491","-0.01979011","-0.9792353","0.09064808","0.1532874","-0.09687167","-0.6042759","1.034668","0.07861036","0.7407168","0.006062002","0.6545717","0.1511222"
14:14:57:942","-0.2881581","1.721244","-0.3243716","-0.107132","-0.1234977","0.01007628","-0.9864935","-0.2407944","1.003282","0.3226769","-0.4951485","0.4077257","-0.4325035","-0.6336628","-0.6399786","1.026957","0.3158842","0.6511142","-0.03236229","-0.09937679","0.7517495","-0.2464707","1.043667","-0.02271375","-0.979781","0.09099646","0.1497695","-0.09653095","-0.609063","1.033906","0.0799945","0.7383752","0.005513759","0.6572067","0.151166"
14:14:57:969","-0.285595","1.721249","-0.3250515","-0.1053895","-0.1400198","0.01246398","-0.9844451","-0.2407921","1.003281","0.3226768","-0.49515","0.4077258","-0.4324934","-0.6336684","-0.6399734","1.026958","0.3158814","0.6510996","-0.03237091","-0.09940451","0.7517581","-0.240789","1.043812","-0.02545455","-0.9784127","0.09012772","0.158475","-0.09732307","-0.6009377","1.032711","0.08838806","0.7441821","0.006846806","0.6506212","0.1511245"
14:14:57:995","-0.2839602","1.721102","-0.3254062","-0.1065433","-0.1496935","0.01595192","-0.9828458","-0.2407916","1.00328","0.3226799","-0.4951616","0.4077298","-0.4324839","-0.6336633","-0.6399703","1.026958","0.3158796","0.6510885","-0.03237291","-0.09942543","0.7517648","-0.2479897","1.044599","-0.02848291","-0.9795012","0.090817","0.1515992","-0.09668422","-0.6086102","1.030662","0.09023666","0.7395944","0.005778069","0.6558245","0.1511983"
14:14:58:021","-0.2836035","1.720876","-0.3253789","-0.1068666","-0.1511375","0.0163169","-0.9825837","-0.240793","1.003281","0.3226798","-0.4951657","0.4077249","-0.4324871","-0.633661","-0.6399665","1.02696","0.3158798","0.6510874","-0.03238158","-0.09944088","0.7517634","-0.2553496","1.045412","-0.03001502","-0.9807062","0.09160124","0.1436083","-0.09592509","-0.6172146","1.029834","0.08852172","0.7342256","0.004542084","0.6618251","0.1512605"
