"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
14:21:21:164","-0.01595347","1.636947","0.1348143","0.07573175","0.1324489","-0.05891325","-0.986535","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2583407","1.047906","0.3917047","-0.9176565","0.08216237","0.3714359","-0.1148541","-0.598506","1.001915","0.2984477","0.6228652","0.002571132","0.7718568","0.127552"
14:21:21:187","-0.01385164","1.648186","0.1187678","0.07569311","0.1276967","-0.05295878","-0.9875016","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2511925","1.05361","0.3828924","-0.9172456","0.08203553","0.3724498","-0.1149448","-0.5907708","1.006595","0.2929618","0.623718","0.002712177","0.771168","0.1275491"
14:21:21:208","-0.01138895","1.658402","0.1028794","0.07541389","0.1229213","-0.04727817","-0.9884169","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2462732","1.059619","0.3718511","-0.9172345","0.08203208","0.3724772","-0.1149472","-0.5856231","1.011761","0.2848876","0.623741","0.002715878","0.7711495","0.1275491"
14:21:21:231","-0.008824127","1.667511","0.08746707","0.07462358","0.1163575","-0.04430109","-0.9894087","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2395637","1.064995","0.3623824","-0.9166132","0.08184057","0.3740033","-0.1150836","-0.5787773","1.01637","0.2797242","0.6250238","0.002928279","0.77011","0.1275442"
14:21:21:253","-0.006510122","1.675522","0.07268882","0.07003844","0.1099989","-0.04408261","-0.9904805","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.233338","1.070218","0.3515939","-0.9166667","0.08185713","0.373872","-0.1150719","-0.5727735","1.020836","0.2726787","0.6249134","0.002909992","0.7701995","0.1275447"
14:21:21:276","-0.004518835","1.682343","0.05907267","0.06480052","0.1021976","-0.04522819","-0.9916204","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2259296","1.075603","0.3407754","-0.9161452","0.08169679","0.3751483","-0.1151858","-0.5659512","1.025654","0.2665744","0.6259855","0.003087545","0.7693285","0.1275406"
14:21:21:297","-0.003172066","1.688868","0.0458616","0.05967052","0.09498107","-0.04247233","-0.9927811","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2197671","1.080475","0.329502","-0.9162958","0.08174302","0.3747804","-0.1151528","-0.5605917","1.029958","0.2594354","0.6256763","0.003036346","0.7695799","0.1275417"
14:21:21:321","-0.002646509","1.694348","0.03372872","0.05301234","0.08946536","-0.03997865","-0.9937743","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2164201","1.08543","0.3175328","-0.9169286","0.08193778","0.3732292","-0.1150145","-0.557866","1.034446","0.2505645","0.624373","0.002820474","0.7706377","0.1275466"
14:21:21:342","-0.002663413","1.698895","0.02235335","0.04831477","0.086503","-0.0381374","-0.9943483","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2142177","1.089593","0.3062235","-0.9179519","0.08225384","0.3707051","-0.1147887","-0.5555483","1.038263","0.2409782","0.6222504","0.002469562","0.7723527","0.1275541"
14:21:21:364","-0.003170865","1.702598","0.01163393","0.04256054","0.08390741","-0.03513441","-0.9949441","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.210946","1.092888","0.2978098","-0.9180634","0.08228842","0.370429","-0.1147639","-0.5518092","1.041544","0.2347196","0.6220183","0.002431259","0.7725397","0.1275547"
