"Remote_HMD_p_x","Remote_HMD_p_y","Remote_HMD_p_z","Remote_HMD_r_x","Remote_HMD_r_y","Remote_HMD_r_z","Remote_HMD_r_w","Remote_Right_p_x","Remote_Right_p_y","Remote_Right_p_z","Remote_Right_r_x","Remote_Right_r_y","Remote_Right_r_z","Remote_Right_r_w","Remote_Left_p_x","Remote_Left_p_y","Remote_Left_p_z","Remote_Left_r_x","Remote_Left_r_y","Remote_Left_r_z","Remote_Left_r_w","Remote_FingertipR_p_x","Remote_FingertipR_p_y","Remote_FingertipR_p_z","Remote_FingertipR_r_x","Remote_FingertipR_r_y","Remote_FingertipR_r_z","Remote_FingertipR_r_w","Remote_FingertipL_p_x","Remote_FingertipL_p_y","Remote_FingertipL_p_z","Remote_FingertipL_r_x","Remote_FingertipL_r_y","Remote_FingertipL_r_z","Remote_FingertipL_r_w","
18:29:57:954","0.07301543","1.191388","0.2609098","-0.02979142","0.1098547","-0.0001162543","-0.9935011","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2126316","0.8126535","0.4748332","-0.989763","0.1069834","0.04982659","-0.0802582","-0.4509274","0.8134842","0.5379605","0.6979437","-0.01759301","0.7031012","0.1349598"
18:29:57:980","0.0732924","1.187069","0.2622792","-0.04721596","0.1061157","-0.008905056","-0.9931923","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2100897","0.81094","0.4675505","-0.9900119","0.1074049","0.04460931","-0.07969327","-0.4525447","0.8121485","0.5317541","0.6942283","-0.01830419","0.7067701","0.1348652"
18:29:58:005","0.07325746","1.180967","0.264754","-0.07774291","0.09823652","-0.01579602","-0.991996","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.204719","0.8112551","0.4670764","-0.9898145","0.1070671","0.04879274","-0.0801464","-0.448683","0.8125461","0.5341816","0.6972088","-0.01773411","0.7038299","0.1349414"
18:29:58:033","0.07394375","1.178389","0.265147","-0.0892178","0.0945617","-0.01883204","-0.9913343","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2045709","0.8114426","0.4592113","-0.9900144","0.1074094","0.04455418","-0.07968731","-0.4521798","0.8130797","0.5271137","0.6941887","-0.01831161","0.7068087","0.1348641"
18:29:58:062","0.07447561","1.176768","0.2652351","-0.0986722","0.09130716","-0.01908534","-0.9907384","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2021495","0.8109686","0.4583709","-0.9900426","0.1074604","0.04391944","-0.07961833","-0.4511624","0.8127072","0.5265424","0.6937355","-0.01839818","0.7072535","0.1348524"
18:29:58:099","0.07526949","1.175869","0.2648875","-0.1031161","0.09186047","-0.0147417","-0.9903088","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2033454","0.8112085","0.454087","-0.9902237","0.1078041","0.03963298","-0.07915233","-0.4541221","0.8130687","0.5210035","0.6906674","-0.01898176","0.7102501","0.1347715"
18:29:58:131","0.0763246","1.174655","0.2651533","-0.1102225","0.08896194","-0.01008482","-0.9898662","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2011284","0.8108025","0.4560259","-0.9900833","0.1075347","0.04299553","-0.07951809","-0.4510745","0.8125809","0.5236816","0.6930753","-0.01852397","0.7079008","0.1348352"
18:29:58:162","0.076538","1.176524","0.2640749","-0.09918024","0.09046216","-0.01120032","-0.9908857","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2027455","0.810953","0.4528454","-0.9902296","0.1078161","0.03948276","-0.07913613","-0.4538682","0.8128127","0.5194566","0.6905595","-0.01900227","0.7103549","0.1347686"
18:29:58:191","0.0774069","1.178317","0.263701","-0.09292561","0.08992439","-0.010551","-0.9915478","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2008322","0.8103551","0.4565451","-0.9901572","0.107674","0.04125982","-0.0793294","-0.451198","0.8121239","0.5231872","0.6918331","-0.01876033","0.7091144","0.1348026"
18:29:58:218","0.0782559","1.180565","0.2630552","-0.08617805","0.08865434","-0.008637317","-0.9922898","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2004849","0.8111755","0.4568324","-0.9901307","0.1076234","0.04188915","-0.07939788","-0.4510962","0.8129939","0.5243555","0.6922836","-0.01867468","0.7086745","0.1348144"
