"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
18:28:49:948","0.07452341","1.236667","0.2265421","0.2947357","0.07984939","0.04901629","-0.9509744","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2489193","0.8203381","0.4914886","-0.990181","0.1077202","0.04068156","-0.07926656","-0.5016006","0.824868","0.5834961","0.6914191","-0.01883903","0.7095183","0.1347916"
18:28:49:988","0.07459194","1.236598","0.2267644","0.2946968","0.07982285","0.04917249","-0.9509807","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2488851","0.8202991","0.491667","-0.9901774","0.1077131","0.0407704","-0.07927623","-0.5015767","0.8248326","0.5837531","0.6914825","-0.01882707","0.7094566","0.1347932"
18:28:50:015","0.07466625","1.236547","0.226987","0.2945952","0.07974032","0.04929868","-0.9510125","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2489146","0.8202965","0.4917112","-0.9901751","0.1077087","0.04082517","-0.07928206","-0.5016551","0.8248397","0.5839158","0.6915219","-0.01881948","0.7094182","0.1347943"
18:28:50:041","0.07474413","1.236519","0.2271634","0.2944555","0.07956446","0.04939094","-0.9510657","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2488891","0.820304","0.4917974","-0.9901713","0.1077011","0.04092132","-0.07929274","-0.5016778","0.8248572","0.5841536","0.6915908","-0.01880639","0.7093509","0.1347961"
18:28:50:075","0.07490584","1.236477","0.2273601","0.2943312","0.0793915","0.04954088","-0.9511108","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2488811","0.8203193","0.4917729","-0.9901704","0.1076996","0.040938","-0.07929441","-0.5017648","0.8248876","0.5842729","0.6916029","-0.01880413","0.7093393","0.1347965"
18:28:50:102","0.07509265","1.23642","0.227527","0.29418","0.07906839","0.04965976","-0.9511784","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2487236","0.8202995","0.4918996","-0.9901638","0.1076867","0.04110023","-0.079312","-0.5016782","0.8248825","0.5846095","0.691719","-0.01878213","0.709226","0.1347995"
18:28:50:139","0.07533522","1.236331","0.227724","0.2939788","0.07865232","0.04994138","-0.9512603","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2485454","0.8202691","0.4919335","-0.9901569","0.1076734","0.04126551","-0.07933006","-0.5016388","0.8248749","0.5849191","0.6918373","-0.01875956","0.7091107","0.1348026"
18:28:50:166","0.07545694","1.236274","0.2278491","0.2939523","0.07852278","0.05008412","-0.9512717","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2485899","0.8202165","0.4916269","-0.9901727","0.1077039","0.0408837","-0.07928859","-0.5019807","0.8248514","0.5846608","0.6915637","-0.01881154","0.7093775","0.1347952"
18:28:50:199","0.07566603","1.236188","0.2280187","0.2936561","0.07816098","0.05026526","-0.9513834","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2484283","0.8202237","0.4917696","-0.990161","0.1076813","0.04116834","-0.07931941","-0.5018698","0.8248705","0.5850458","0.6917677","-0.01877276","0.7091786","0.1348007"
18:28:50:227","0.07580323","1.236144","0.2281114","0.2935101","0.07804814","0.05042367","-0.9514293","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2484294","0.8201751","0.4914942","-0.9901732","0.1077051","0.04087133","-0.07928719","-0.5021071","0.824846","0.5848278","0.691555","-0.01881327","0.7093859","0.1347951"
18:28:50:259","0.07600284","1.236087","0.228222","0.2933868","0.07771982","0.05056049","-0.9514869","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2482568","0.8201907","0.4915746","-0.9901634","0.1076858","0.04111112","-0.07931328","-0.5019861","0.8248712","0.5851088","0.6917269","-0.01878062","0.7092185","0.1347997"
